title,content,tags
Should I write Steak or Beef Tenderloin on the menu?,"I am trying to write a simple menu. One of the dishes is ""Pan seared sliced beef tenderloin"".
Is sliced beef tenderloin considered steak or would that cause confusion? My concern is if I write just ""beef"" it could be confused with beef stew or any other type of beef. There is only one beef dish on the menu.
","beef, steak, food-identification"
Which oils or fats make the crispiest roast potatoes?,"Which oil or fat is the best option for crispy on the outside fluffy on the inside roast potatoes?
","oil, roasting, potatoes, fats"
"First time cooking Ribs. St. Louis Style, membrane questions + more","This is my first time cooking ribs so I feel I am making some rookie mistakes.
I forgot to peel the membrane off of the rack of ribs I plan on cooking later today and they have already been soaking in the marinade overnight.
My questions are: Will the marinade penetrate the membrane and still flavor the meat? If I peel the membrane off after I pull the ribs out of the marinade, would it be worse than if I left the membrane on? 
Cursory question, How often should I baste my sauce on the ribs? I have seen reports that it should be anywhere from once or twice towards the end of cooking, to every 10-20 minutes through the whole 2-6 hour process depending on temperature.
","oven, pork, barbecue, ribs"
Spotting frozen seafood in restaurants,"We've just been to Spain and while we were there we ended up in quite a touristy restaurant. There we ate paella which was terrible, at least in my opinion. Then I was wondering how fresh (or not) it was. The prawns were still in their shell but some of them had developed some white areas.
So my question is: do these white spots on the shell indicate that they had been frozen? Or can a prawn go white too if it is boiled or fried straight after being caught?
Just for the record: I'm sure they had been frozen because they didn't taste very nice.  
","storage-method, restaurant"
What damage is caused to kefir when it comes into contact with metal?,"Advice differs. And what about contact with stainless steel, which was only invented in the 19th century, when kefir had already been consumed in the North Caucasus for centuries?
",kefir
"pork went over internal temperature, can I make it tender by putting the oven in a lower temperature for a couple of hours?","I cooked a piece of pork shoulder and i put it at 250 celcius for 30 min and 130 celcius for 1 hours. Now the internal temperature is well above the 71 celcius mark and the meat looks tough. If i put the oven at a lower temperature can the meat soften up and make it tender?
","oven, temperature, pork, overcooking"
Does honey have a bitter component?,"I've heard Jeffrey Steingarten, on Iron Chef America, mention that he finds honey quite bitter. I've never noticed that myself. Maybe if I really try I can notice a slight bitter finish, but for me the sweetness and floral aroma dominates. Is honey actually bitter in some quantifiable sense? Are some particular varieties of honey better known for this characteristic?
",honey
What temperature does simple syrup freeze at,"I would like to freeze mint flavored simple syrup into ice cubes and store it for a while. I tried this with 2 to 1 simple syrup and it did not freeze at all. 
Would this work for 1 to 1 simple syrup?
",freezing
Revive sourdough starter after 2 months in fridge,"I have a sourdough starter in fridge for nearly two months and have not fed it.  Haven't even looked at it.  So two questions: if it smells ok, for a starter, that is, can I use it if I feed it and let it sit out for a few hours?
2nd question: it's made with spelt flour.  Does that make a difference?
",sourdough
What veggies can be easily microwaved?,"What veggies can be easily microwaved? (so that they taste as good as when they are cooked traditionally)
EDIT

Do you have any reason to think that any vegetable don't perform well when cooked in a microwave? 

Yes, whole potatoes are great, while peeled ones end up dry and weird. So it's easy to imagine that not all veggies will do well.
","vegetables, microwave"
How much rice should I cook per person?,"I would like to know how much rice I should cook per person.
Preferably in some ""fast"" measurements - like cups, spoons, etc.
It would also be nice to know how much water should I add to the rice-cooker. 
Edit: I want to have the rice as a side dish, usually with some kind of stew. 
Edit: The cup I've been using is 300ml filled about 3mm below top edge (which is what i consider ""full"").
","rice, rice-cooker, ratio"
Premix dry herbs for easy oil pasta,"How normal is it to use premixed dried herbs with pre-toasted garlic as a quick oil pasta preparation? Is it presumable that one can just use supermarket brands in making one's own premixes, or is it still incumbent to use just-dried herbs?
In Italy, I was able to buy some packs of mixed dry herbs. Printed on them was an obvious ""aglio e olio"". The packs varied in content, but all contained garlic. One variant had sun-dried tomatoes, another had a lot of chili flakes. I think I spotted some dried basil and parsley.
","pasta, herbs"
Water content in beignet dough,"When I add the indicated amount of water to my beignet recipe, I end up with humid flour: not enough moisture to form a dough of any kind. It seems apparent to me some minor adjustment to the water is necessary, but I can't find much information on what I should be aiming for. What should the target consistency be? What will the end result be if I add too much, or too little water?
","french-cuisine, doughnuts"
Dehydrating Strawberries - Wax Paper or Parchment?,"I just tried dehydrating strawberries in our oven (it has a dehydrator setting), and used parchment paper to line the metal trays. The results were quite good, but the parchment absorbed a lot of juice and I'm wondering if wax paper would be better? Or would that just leave wax on the fruit?
","food-preservation, dehydrating"
Homemade Dill for Charity,"I really want to make my own dill to put in my spaghetti sauce for a charity luncheon I'm hosting.
Do you fellas/ladies have any tips? How should I get started? And the middle? What about the end?
","flavor, spices, italian-cuisine, spaghetti"
Aluminium foil replacement for steam cooking,"I use steamer every day to prepare my meals. I usually wrap the ingredients (mostly vegetables and chopped meat) with aluminum foil in order to keep them all in one place and to avoid melted fat trickling through holes. However I've heard that this is considered unhealthy as aluminum can enter the food and poison your body. Therefore I've two question to ask:

Should I actually be worried about this...? I believe that temperature used in steam cooking is not as high as inside ovens, so maybe I can simply continue to use foil as before?
If I in fact should stop using aluminum foil then what good replacement for it could be used inside a steamer? Some kind of a casserole dish, perhaps?

","equipment, steaming, aluminum-foil"
When I go to slice my meatloaf it falls apart on the plate,"Why does my meatloaf fall apart when I cut it for serving. I used 2 eggs and 1 cup of breadcrumbs in the loaf. I just don't get it.
",meatloaf
"When I'm separating egg whites, how much does it matter if a little yolk gets in?","I was separating egg whites today and one of the yolks broke and contaminated my bowl of whites. I started from scratch, but I'm wondering if I really needed to; would a tiny bit of yolk (say, 1/8 tspn in 4 egg whites) mixed in with the whites make a big difference?
To provide some context, I was about to whip the whites with castor sugar to make almond macaroons.
","eggs, egg-whites"
One Cup in Grams,"How much is a cup of milk in grams?
Of course I can search google and get it (240gr) but that sounds too much for making pancakes . I don't have a measuring cup and I have to use 1+1/4 cup milk and I don't know how! 240 sounds too much.
this is the recipe :

1.5 cup of floor, 1.25 cup of milk, 1 egg. the rests are not main ingredients.

","pancakes, measuring-scales"
Chewed Artichoke turned blue,"I took some cooked artichoke stems to work.  ate them, but some of the outermost skin is tough, so i can just chew it and then spit out the inedible bits.  I spit it back into the container that I brought the artichokes to work in.  left it on my kitchen counter near the sink.  still sealed.  a day later, when i go to dump the contents, the ""chewed"" bit is a bright blue color.  What does this mean?  something with saliva enzymes?  Do I have cancer?  lol, kinda joking on that last one.  
anyhow, I took a picture before I trashed it.  if you want to see the pic, let me know.
-Chris
",artichokes
Good Frozen Fish /seafood,"Fish seems to be one of the food items that is much better with fresh ingredients than frozen. 
Why is this?  
If I want to shop frozen food for my freezer, what should I buy?
Looking for 

Very delicious end result 
and/or Good result for the price 
and/or types of fish where the frozen version is OK compared to the fresh one.



I was thinking mostly in terms of species of fish, but I see other threads mentions the quality of the freezing process.  Should I perhaps just try some species with a quality producer?
This is in Europe.
I am of course referring to frozen fish and fresh fish as you would buy it in shops.
","fish, seafood, frozen"
How do the nutritional values of bananas change as they ripen?,"Unripe bananas are hard with thick skins and an unmistakeable raw flavour. As they ripen they shrink slightly, the skins become thinner, and the fruit becomes softer and sweeter; the raw flavour goes away. 
How does the nutritional composition of the fruit change during the transformation?
","fruit, nutrient-composition, bananas, ripe"
Why is carrot juice so sweet?,"Certain brands of carrot juice taste sweeter than any raw carrot I've ever eaten, yet are made only with carrots, with no added sweeteners. Are carrots sold in supermarkets just not ripe enough?
","sugar, carrots, juice"
Recipe calls for a heaping teaspoon of a liquid ingredient,"I'm looking at a recipe for chickpeas (garbanzo beans) roasted in a spice mix, which looks yummy, but I'm confused by some items in the ingredients list.
I'm happy with this:

1 heaping teaspoon curry powder

I simply take my 5ml measuring spoon, and get a heaped scoop of curry powder.
But for

1 heaping teaspoon sesame, coconut or olive oil
1 heaping teaspoon sriracha

I can see that sriracha might well hold its shape enough to form a heap. But what about the oil??
","oil, measurements"
Royal icing safety concern,"Is it possible to acquire salmonella from consuming royal icing?  Is it better to use a powder substitute?  I am afraid to serve egg whites that have not been cooked in a recipe.  What do you think?
","food-safety, eggs, icing"
How do you prevent the flour/cornstarch in pork chops from falling off after pan-frying and still be crunchy?,"I coat my pork chops with cornstarch with seasonings (salt, five-spice, etc.) before pan frying. After pan-frying, the coatings easily fell of from the pork chops. How do you prevent the coating from falling off and at the same time, make it crunchy?
",pork-chops
Is cinnamon sweet?,"I've heard that even though cinnamon is widely used in several types of sweet food-products, it's actually not a sweet spice.
Is is true? If yes, why is it used in sweet food-products? Either way, which non-sweet foods use it?
",cinnamon
Are hardware store themocouples food safe?,"I recently finished reading The Blue Bottle Craft of Coffee: Growing, Roasting, and Drinking, with Recipes. The authors of this book put a strong emphasis on accurate measurements and measuring tools, both for coffee and baking, and regularly make use of general purpose thermocouples as shown in the excerpt and picture below:

One of the greatest kitchen gadgets you can have is a thermocouple (shown below). A thermocouple is an electronic temperature sensor that can be purchased at the hardware store, and is typically used in science and industry for testing the temperature of ovens and air conditioning. They’re fairly inexpensive, absolutely accurate, and very easy to use and clean. I use mine for verifying my oven temperature and for taking temperature readings on sugar syrups and other temperature-sensitive recipes, such as Homemade Yogurt. It’s an invaluable and extremely accurate tool that is worth investing in for both baking and coffee preparation. 


I can see the appeal of these ""hardware store"" thermocouples, but are they really safe to use in and around food or drinks? None of them claim to be suitable for cooking. Is there a likelihood that they could leave behind undesirable chemicals or metals?
","food-safety, equipment, temperature, measurements, thermometer"
What type of yoghurt should I use for making curry?,"I've seen a lot of recipes specifying ""yoghurt"" when making an indian-style curry, but very rarely do they specify what type. 
The problem is compounded for me in that I live in a country where I don't speak the native language, and their concept of what may or may not be yoghurt is possibly different from mine.
Is turkish yoghurt okay? Or should I look for something else? Or does it not even matter?
For reference, I'm intending to make a chicken korma or something along those lines.
Edit: I live in Sweden.
","indian-cuisine, yogurt, curry"
How much gelatine to use instead of xanthan or guar gum in ice cream,"I bought a Cuisinart ICE-30BC ice cream machine and I am experimenting with it. Some ice cream and gelato recipes ask for xanthan gum.
I can't find any of it in my county, but I read that I can replace it with powdered gelatin.
My question is, if a recipe calls for 3g of xanthan gum, how much gelatin should I use to replace it?? Is it less or more?
","substitutions, ice-cream, gelatin, xanthan"
Tasting food while cooking,"I cook quite regularly at home, but I have trouble tasting food while cooking. All I want to know is if I should adjust salt, pepper or sourness. On the rare occasions that I taste, I invariable mess up the ingredient that I tasted. For example, I might place a little quantity (enough to lick) on my palm, wait/ blow for it to cool down, taste and adjust for salt. Later when eating the meal, I discover that I have added too much salt.
Any tips?
If it matters - this is South Indian style vegetarian cooking - lentils, vegetables.
",tasting
How do you use the gizmo for Café Sua Da?,"Vietnamese Iced Coffee or Café Sua Da is usually served with the little brew pot dripping coffee into a glass with sweetened condensed milk at the bottom. You then stir and add ice and enjoy.
But what's the little screen with the screw for? Usually in restaurants I find it just sitting loose. Is it supposed to be screwed-on or loose? Is it supposed to constrain the expansion of the grounds or just help form the initial packed puck shape? Is the lid important?
Bonus questions: How important is it to have chicory in the coffee? What's a good proportion?
",coffee
"Dough for edible bowls, plates","I want to bake edible bowls that go with e.g. salad or snacks, that is, I need a non-sweet, bread-like dough that gets reasonably hard when baked but is still somewhat edible.
Is there some classic technique, a special ingredient, or just a general direction to go for a such dough?
","baking, dough"
Can Escallion be replaced by onion?,"Green onions are said to be milder than onions, which would suggest that if one do not mind the more powerful onion flavour in a particular dish then onions could be used in place of green onions.
My assumption could be wrong here; I am not a chef but a poor father trying to cook. I want to substitute green onion for Escallion in some Caribbean recipes, and several internet sites say that Escallion is green onion - but, confusingly, some Caribbean cooking websites are saying that Escallion is not green onion.
Could someone clear this up for me? Is Escallion the same as scallions (green onions)?  And can Escallion be replaced by onion in a recipe?
","substitutions, onions"
Is there a difference between green and spring onions?,"I've seen some recipes call for green onions but always use spring onions? Is there a difference between them? Is there a better substitute?
","substitutions, onions, language"
Cues to a reliable or unreliable recipe?,"Over on this question about measurements we got into an interesting discussion about recognizing reliable recipes. What cues do you look for to recognize one you would trust? This is a community wiki question since it has no definitive answer. I'll throw out three to get us started:
Good signs:
+ If I can see a picture of the finished food and it looks delicious
Bad signs:
+ If the author doesn't know the diff between ""1 cup of pecans, chopped"" and ""1 cup of chopped pecans""
+ If the ingredients aren't listed in the order you will need them in the recipe
",please-remove-this-tag
"Can you make fermented, oil-stored Giardiniera at home?","I'm wanting to try to make Chicago-style giardiniera at home. However, some food-safety site says that 

The Italian condiment, Giardiniera, CANNOT be made safely at home. This mixture of raw, hot peppers and vegetables in an oil base can support the growth of Clostridium botulinum. Therefore low-acid foods, such as vegetables, that are mixed with oil must be kept refrigerated. They can be kept refrigerated for up to 10 days. Commercially prepared products contain specific levels of microbial inhibitors or acidifying vegetables for use in an oil-based product in the home environment.

Most recipes I look up for fermented giard are touting it's mystic gut-flora curative powers, and don't discuss storing it under oil. The oil recipes I find just have the vegetables soaked in brine for a day, while refrigerated, so practically nothing microbial is going to happen there.
As to the warnings, I'm not sure if the ""low-acid foods [...] that support the growth of Clostridium"" include fermented vegetables. From what I can tell, fermented vegetables are more likely to be attacked (in the short-term) by mold, and only if oxygen gets in.
The ""proper"" Chicago recipe is cited in the Tribune article as broadly:

According to Shay of Local Foods, making Chicago-style giardiniera is a two-step process. ""First, you pickle the vegetables,"" he says. Then, ""you drain everything, and then cover (the vegetables) with oil."" Shay lets the vegetables pickle for two weeks before tossing them in the oil, where he leaves them to infuse for another two weeks.

My question is basically, what is the expected shelf-life/hazards (refrigerated or not) if I do that (2 week ferment, drain, oil, 2 week infuse).
","food-safety, oil, fermentation"
How do I extract coconut milk from coconut meat?,"Coconut milk in the local grocery store costs around $1.50 for a small can. Cans of coconut milk that cost less are full of fillers such as extra water and gums to thicken it.
Whole coconuts, on the other hand, cost $1.50 and I would think I should be able to get more than one can's worth of milk out of it.
What is the correct process for extracting coconut milk from coconut meat? Does it have to be heated? Does it require a special press?
After the milk has been extracted can the flesh still be used as flakes or is it spent?
(I have seen the question here. I'm not asking about where to find it or how to store it- just how to make it.)
","milk, coconut, extracts"
Convert seed based measurements to pre-ground?,"I want to use a recipe that gives ingredient measurements based on the spice seeds. My local grocery store does not have at least half of the ingredients in seed form. But the store does have them pre-ground. How can I translate this recipe's measurements into something I can actually buy?
Ingredients:

1 1/2 dried chipotle chiles, stemmed, seeded, chopped
2 tablespoons pink peppercorns
2 tablespoons coriander seeds
1 teaspoon fennel seeds
1/4 teaspoon cumin seeds
2 teaspoons dark brown sugar
2 teaspoons kosher salt
1 teaspoon mustard powder

Read More http://www.bonappetit.com/recipes/2011/07/chipotle-rub#ixzz1Qo0PBoPp
","spices, measurements"
Cast Aluminum Vs Cast iron Dutch Oven,"I have seen a lot of meat roasting recipes that require using Dutch ovens, most of the cooks doing the presentations have enameled cast iron Dutch ovens.
When I looked into what a Dutch oven is I noticed some internet sites are suggesting that there are cast aluminium Dutch Ovens as well, They are popular in the Caribbean and are sometimes called Dutch Pots.
I have seen the question: What to look for when choosing a dutch oven?, with an answer suggesting two material options. Plain (seasoned) cast iron or enameled cast iron. Cast aluminium was not mentioned at all. I would like someone to talk about cast aluminium Dutch pots a little because pots made from that material are much cheaper and easier for me to get. The only reason why I would not bother with cast aluminium is if it does a very poor job with meat roasting and caramelization of sugar.
Here are some of the things I already know or at least think I know:

The thermal capacity of the  cast aluminium compared to that of cast iron will lead to a cast iron pot having superior temperature stability for the same thickness and size.
Cast aluminium is lighter than cast iron, volume constant hence lighter pot for same size.
Cast aluminium Dutch pots are durable and cheap and easier to care for
Cast aluminium will probably react with some food items while enameled cast iron will be safer in this regard
The melting point of cast aluminium is lower than that of cast iron

Have I left any key issues out?
What are the likely problems with my output if I choose the aluminium pot given the above points where aluminium does not do well and the fact that I need the pot mainly for meat roasting and sugar caramelization stove top?
","equipment, cookware, dutch-oven"
How can I make dry coconut from fresh coconut meat?,"For my recipe I need dry coconut, but I have only fresh coconut meat in my kitchen. Is there any easy option to convert it into dry coconut?
",coconut
Added sugar instead of syrup to sorbet mixture,"I made a sorbet at work and I was in such a rush. I'm still new to the making sorbet (it legit is one of the simplest things ever), but I had the biggest bonehead moment ever and put sugar in it instead of sugar syrup. Just so you know our recipe is:
700ml sugar syrup 
700ml feijoa juice 
100ml of feijoa vodka 
But I did the great thing of putting straight sugar in the mix. Do you have any suggestions own how to resolve it or make it smooth or anything?
Everything is added into one container and now it sits in the freezer (unturned) waiting for some genius to give me the answer I need :) 
",sorbet
Can I make my chips crunchy again after they have gone soggy?,"Sometimes I forget that bag of salsa chips open and with the summer weather they go soggy.  How do I get them crunchy again before the guacamole is all gone?
",tortilla-chips
When do you add spices to homemade butter?,"I have looked up many homemade butter recipes. I know how to make plain butter. I have seen some recipes with herbs added and other seasoning. They don't say when to add the seasonings. Do you add them with the cream or after it is turning into butter? 
","butter, herbs"
How to cook young onions so that they melt?,"I was at a restaurant yesterday and I was surprised to get young onions (sorry for the direct translation from French oignon nouveau en botte - I added a picture below) cooked as whole, but melting once they are cut.

What I got on the plate was just the head (without the green part), cooked but not fried/braised (the head was white). When cutting it, the layers fell apart and the taste was almost sweet, without any aggressive onion taste. If I did not look closely at what I was eating I could miss the fact that it was an onion.
What would be the right approach to cook an onion like this? Boil it and then sauté? Cook it in butter for a long time at a low temperature?
",onions
What stops commercial ice lollies from being rockhard?,"In the UK you can purchase ice lollies/suckers that are pretty soft to eat.
However, if you were to make your own in an ice lolly mold they'll be rock hard like ice normally is.
What do commercial companies do to their ice Lollies to make them soft to eat.
I'm unsure if this applies to other countries such as the US, I'd assume it does.
",freezing
"How to inject carbon dioxide into hard candy, to make popping rocks?","I have a great idea for a unique candy recipe, but to achieve this I need to be able to make pop rocks. The pop rocks would be inside the candy. 
Doing some research I have learned that pop rocks have pressurized carbon dioxide gas inside each tiny rock. I would not have any problem trying batch after batch and getting the ingredients right to make these pop rocks. But it would be useless if I can't get the CO2 inside. 
Does anyone knows of an easy way of doing this at home? If not, what type of machinery do you need?
","equipment, candy"
What temperature is 'High' in a 950 watt microwave?,"A recipe asks for a teensy cake to be cooked on High for 70 secs in a 950 watt microwave.
What temperature would 'High' be? like in Celsius or Farenhite
","temperature, microwave, heat"
How do I pick a watermelon at the supermarket?,"Lately, every watermelon I bring home form the organic section of the supermarket has not been sweet.  Among the small, seedless varieties, I try to pick the densest. How do I know if it is ripe?  Can I ripen them at home?  Should I keep them in the fridge? 
","ripe, fruit, watermelon"
"When kneading bread dough, how sticky is 'too sticky'?","I often see the directions ""If it's too sticky, add more flour"". This usually comes shortly after ""Add as little flour as possible."" Being a perfectionist, these two instructions combine to make me an agitated baker. In general, how sticky is too sticky? Does a general answer to that question exist? I know that, no matter what, my 100% hydration pain au levain will be a lot different than a 60% whole wheat or something. However, how often should I be putting aside the dough for bulk ferment and then washing gobs of dough off my hands?
Adding to this confusion is that, when I've made bread with the KitchenAid in the past, the bread can be sticky and leave flour on the sides of the bowl for the first nine minutes of kneading and then poof something magical happens in the last minute and it stops being sticky, gathers the rest of the flour from the sides of the bowl, and is very pleasant to work with. Should I be adding flour until something like that happens? Or perhaps kneading it with the lower flour amount until that happens? I feel this is related enough not to create another question but I can do so if needed. Thank you!
","bread, flour, kneading"
"What does it mean to place a ""piece of parchment paper and an inverted lid of foil"" to cover","I'm working with a dutch oven, and i'm braising short ribs. I'm assuming the idea to place  a ""piece of parchment paper and an inverted lid of foil"" to cover means to seal the pot further so no liquid evaporates in the process. 
But I'm not sure how to seal it by that statement. Does it mean the aluminum foil covers the pot, then place parchment paper on top, then close it with the lid? 
",braising
Process fresh salmon into Sushi / Sashimi salmon?,"I am a Sushi and Sashimi lover, especially salmon flesh. I recently bought some fresh salmon from Taobao. It's not frozen and has been kept around 4°C for 24h (during delivery). The product page said it's suitable for eating directly. After eating a few slices I noticed something different from what I eat at a restaurant. I see some white fluidy solid in my sauce plate, which is possibly fat. I washed the flesh and applied juice from squeezed lemon to it before eating. I'd never met this phenomenon before.

What's that white fluid in fresh salmon flesh? (No quality issues)
Is it fat? It does not dissolve in water or sauce.
How is this fresh salmon different from that in a restaurant?
How should I process the salmon so that it gets consistent with the one in a restaurant? Or simplifying this question, how can I get rid of the ""fat"" (since there's no other issue)?

","sushi, fresh, salmon, food-processing, sashimi"
How do I prevent my bread crust from drying out?,"When I make bread pizza or toasted sandwiches in my oven, the outer crust dries out. Which elements should I use for baking to prevent it from drying out?
My oven is 35 liters with convection. 
","baking, bread"
How do I get my chocolate mousse to be firm?,"I need to pipe my chocolate mousse into chocolate Cups but the shape is not staying, how do I make my Mousse firm? I used the following ingredients in my mousse: caramel treat, cocoa powder, chocolate and whipped cream. 
","chocolate, mousse"
The use of chicken bones that have frost on them,"I have chicken bones in the freezer that have frost on them. Can I still use them to make chicken broth?
","food-safety, chicken, chicken-stock"
Increasing the earthy flavor of beets?,"I enjoy the ""earthy"" flavor of beets -- I would like to know:

What way(s) of preparing beets result in the most earthy flavor?
And are certain types of beets known for tasting earthier? 

",beets
Sorbet contain ice crystals,"I bought the ICE-30BC ice cream machine from cuisinart after reading hundreds of reviews on amazon and youtube
They all said that it will make a smooth and creamy ice cream.
I tried the red fruits sorbet:
Raspberry
Strawberry
With sugar syrup
When I churned the mix and taste the mix it was smooth and delicious but when I kept it in the fridge for the next day it was hard and I felt the ice crystals when I ate a portion.
The reason is the machine ? The fridge or a missing ingredient ?
","ice-cream, sorbet"
How can I make my kefir milk smooth and creamy instead of watery and grainy?,"Just started making kefir last week.  My kefir comes out grainy and watery.
Here is what I'm doing:

I have about 2 tablespoon of kefir
I add about 4 cups of 2% organic milk
Leave it for a day on the counter (26 degrees centigrade)
It separates by this time (clear liquid at the bottom) but not much
I run it through a plastic sieve.

The resulting kefir compared to store bought kefir (my only point of reference) is:

seems watery instead of creamy
seems grainy: tiny grains almost like yogurt particles
has a sharp taste/smell

I still drink it and enjoy it.  But I was wondering how I can improve it...

Update
I haven't gotten the timing right yet...however switching to whole milk is producing much better kefir.
","milk, kefir"
Is it safe to thaw chicken to have it brined and then freeze again?,"I didn't realize that I thawed so much chicken to brine.  I don't need half of it so is it safe to freeze the half portion again?  It was thawed in salt water in room temperature for couple of hours and then put back into the fridge for one day for longer brining. 
","food-safety, chicken, freezing, brining"
Pot sticking to induction cooktop?,"I recently bought a Max Burton 6400 induction cooktop.  I used it a few times with some pans I already own and had to problem.  Today I wanted to heat some milk up quickly, and I used a cheap Ikea sauce pan.  The milk heated up fine, but when I tried to remove the pot, it had become stuck to the surface.  I turned the cooktop off, but it was still stuck.  I finally was able to slide it to the edge and pull it off, throwing hot milk all over my kitchen.
Has anyone experienced this with an induction cooktop before?  Is it considered a malfunction?  And should I blame the pot or the cooktop?
",induction
Does storing meat in plastic alter how long it takes to go off?,"I was recently told quite emphatically that ""Storing meat in plastic makes it spoil faster""
I suspect that this is an old wives tale, but haven't been able to find anything that either proves or disproves the statement.
I was told that it's true whether it's plastic from packaging(say, plastic bags for sliced ham, a chicken in cling-film...anything.) or if the meat is being stored in Tupperware.
Assume that the meat is stored in a fridge.
It wasn't suggested that it was caused by anything leaching from the plastic, like BPA.
If this is either true or false, I would really like to know why?
Many thanks!
Bonus Question:
If it's not true, are there some reasons why someone might think that it is?
Built up smell? Different moisture level?
","food-safety, storage-method, meat, storage-lifetime, storage"
"Frying Steak - disappointing gray crust, not pink inside","Ok so I'm a teenager and I'm starting to get interested in this cooking thing, and in particular, steak. 
So anyway, this past week I decided to try my luck at preparing a steak. My family's grill is broken, so I tried to cook it in a pan (after reading and watching plenty of articles and videos on how to cook steak).
So I used some sort of heavy metal pan (I'm not sure what material), and let it heat up on high heat for about 5 minutes. After letting my 3 thin flank steaks sit out for around 30 minutes, I put salt, pepper, and olive oil on them. Next, I put them in the pan and immediately the room filled with smoke.
I opened up windows, doors, and used the vent above the pan but to no avail. Despite all the smoke, the steaks would only seem to turn a bland grey. After a while I had to take them off because I didn't want them to get overdone.
I put the steaks on a plate and covered them with tin foil. After around 10 minutes, I cut into them and they only had a little pink in them. Not the medium rare I was hoping for. Plus, there was the disappointing gray crust.
What did I do wrong? Any help is appreciated. 
",steak
Gari as subtitutes for tapioca,"I used to make a lot of cakes using tapioca flour. Now I've moved to another country and rarely stumbled upon the flour in the supermarket. Last time I found gari which also made from cassava. Can I substitute gari for tapioca? Can I put it in food processor first to make the texture more similar? From what I've read, usually gari's mixed with water to make porridge, but I don't have a lot of ideas in how to use it (other than all my tapioca flour recipes).
Thank you.
","substitutions, cake, flour"
