title,content,tags
Mongolia-related tourist attractions in Korea,"Korea seems to be one of the countries most linked to Mongolia apart from Russia and China. Lots of Mongolians live in South Korea, Korean culture and cuisine is popular in Mongolia, and lots of South Koreans visit Mongolia. Mongolia also has ties with North Korea as well.
What Mongol/Mongolia-related tourist attractions are there in South Korea?
So far, I've found the following:

There's a Mongoliatown in Tongdaemun, Seoul, consisting of a Mongolian community living in the city.
Mongolia Cultural Town in Sudong National Tourist Site in Gyeonggi-do (another English page, and official Korean-language page)
Ma Park in Jeju island.

Is there anything else?
","south-korea, culture, history"
Where are the shopping areas in London?,"My wife and I are visiting London soon and we would like to find the best stores. 
We want to visit the popular big shops but we’d also like to visit some local independent shops.
I would also like to find out outlet stores where I can buy good stuff in a good price. 
","london, shopping"
Can a booked transit passenger be denied to board on the plane in the transit airport?,"I have a confirmed booking from A to C via B.
In airport A I am checked-in and my luggage is tagged all the way to C. But I get only one boarding pass for the flight from A to B. The staff in airport A confirms that I will get my 2nd boarding pass in airport B at the gate of the flight B to C.
When I arrive to airport B I am not allowed to board on the aircraft flying to C as it is overbooked. 
Has the airline the right to do so? what are the passenger rights?
Because of missing flight B to C, I will miss a flight booked to depart from C to a final destination. So I book a new ticket from airport B to the final destination. As a result I lose the ticket C-final destination and incur additional cost to purchase ticket B-final destination. Can I claim the additional expenses/costs from the airline?
","transit, passenger-rights, royal-jordanian, amman"
Can I fly out of and into the US after driving into it from Canada?,"If I have a valid US visa and a Canadian PR, can I drive into the US, and then fly out of and into the country and then drive back to Canada upon arrival to get around the (usually) high Canadian airfares?
Are there any gotchas or issues I need to be aware of?
","visas, air-travel, usa, canada"
Visa requirement at KLIA2 as a transit point with separate PNR,"I am an Indian citizen wanting to visit Malaysia and Singapore with my family at the end of October 2017, for tourism.
I am applying for eNTRI (single entry visa for Indian Citizens) for Malaysia and for a normal visa for Singapore (single or multiple as the case may be).
While returning to India from Singapore, I have a connecting Air Asia flight at KLIA2 with approximately 2 hours' layover.
Both SIN–KUL and KUL-HYD are Air Asia flights departing from the same terminal, KLIA2, but having a separate PNR number. 
We are carrying only hand baggage (cabin baggage). Also we will be doing web check-in for the KUL-HYD leg, and we will have our printed boarding passes ready for the same, in advance.
In the above scenario, do we need to go through Malaysian immigration formalities again at KLIA2 while returning from Singapore? 
If yes, do we need a transit visa or another type of visa, even if we do not wish to leave the transit hall or airport terminal within that 2 hour period?
","layovers, transit-visas, kul, airasia"
How should I fill in the form of a UK Visa for my wife when I have a valid visa?,"I was traveling alone to the UK 2 months ago, and my visa is still valid (6 months). Now, for the second time, I want to travel with my wife and daughter, but I wrote in my form, my dependent people will not travel with me to the UK. 
Can I request a visa now for my family and go to the UK with them?
What should I write in my wife and daughter's form for this question: ""How much do you want to spend on your travel to the UK""?
","visas, uk, family"
From Darjeeling to Pelling,"I would like to go from Darjeeling to Pelling by public transport. As I know is i possible by shared jeeps. 
Is there a direct jeeps from Darjeeling to Pelling ? How long does it takes ?
",india
Minimum Gap between visits on a UK 2 year visa,"Can my parents re-enter UK, before completing 6 months outside UK, using a 2 year visa? They have indian passports
1) My parents got UK visa stamped on 16 nov 2016 and Travelled to UK on 9 dec 2017.
2) Then from UK they fly on 6 Jan 2017 to US and are scheduled to fly back from US to UK on 2 July.
This means although they still have their 2 year visa for UK valid, the time lapse between first and second visit to UK is less than 6 months (actually short by only 4 days). 
I want to know if this will be a problem. Can find any such thing on Border agency website
","uk, repeat-visits"
Bringing coins back home from abroad; Is that unethical to do?,"I have a bad habit of not properly utilizing foreign currency coins when I tour any country. When I pay in bills and get back coins I don't know why my brain is programmed to think of them as change and for the next purchase I would again use a new bill.
Sometimes it is also due to the fact that I don't like to spend a long time on a counter trying to count coins up to a certain amount so just to make it easy for me I would just pay with a currency note that's slightly bigger than the required amount, or use a combination etc. It is also due to the fact that sometimes its hard to get used to the denominations specially for coins on a short trip; they sure do some in various shapes and sizes, whereas on for paperback it is comparatively easier.
I usually bring all those coins back home, they are quite a bunch of them by the end of a trip. I bring them home as a memory or as something that relates to my trip for a long time to come. I am not a coin collector but sometimes when I see that this coin that I have is from a country which i visited when i was a child it makes me feel good. Sometimes my family members take some of them as souvenirs.
The only time I use those coins abroad is on vending machines and lately in theme parks for my kid on toys which operate with coins.
Lately I have been reading about this fairly global practice that all coins should either be used at the airport or given to homeless people in that country before you fly out.
That has got me wondering whether what I do is unethical? I am not a miser nor do I have any use for those coins when I reach home but even when I find a homeless person abroad I give them a currency note instead of a coin.
Is this a bad practice?
","international-travel, money, culture"
Risk of flight connecting at Doha being cancelled,"I have a flight connecting at Doha in mid August, leaving from Paris and going to Bangkok. 
Given the current tensions against Qatar, what is the risk of the flight being cancelled? (I hope this question is not too opinion-based).
On a side note, I read that since the flight leaves from the EU, any cancellation should give me the right to either get a refund or a reschedule. Does that apply in the case of a diplomatic crisis?
","airports, refunds"
Can a someone with a tourist visa import a caravan or motorhome into New Zealand?,"We are going to travel around New Zealand for 9 months next year with our 3 kids.  The plan is to tour mostly by caravan or RV.  The most economical choice would be to purchase a caravan when we get there and sell it when we are done.
However getting one that would be sufficient size for our family looks to cost between 60k and 75k NZD.
We are now looking into purchasing a caravan ( camping trailer ) in the US and shipping it to New Zealand and then sell it for a small profit when we are done.
Can someone on a tourist visa import goods into a country and sell them?  What about a vehicle?
","new-zealand, import-taxes, campers, motor-homes, caravans"
India visa options for a minor : OCI / PIO/ Visitor visa?,"We are planning to travel to India with my 4 year old daughter.
Given complexities of time/ money/ visa complexities / duration of visa, What is most preferred visa options for her

OCI Card
PIO Card
Visitor visa

","visas, india"
Question about 10-year Chinese Visa,"
Is the 10-year visa a multiple-entry visa?
If it is a multiple-entry visa and I plan to visit China a year later after my first trip, do I need to enter the second trip information on the application form? Do I need to send the Chinese embassy a copy of the itinerary for the second trip?

","visas, china"
Passport records in the UK,"When traveling to the UK, I understand my immigration history of travel will be recorded electronically. Couple of questions to clarify:

Does the electronic record hold only the travel and arrival dates or the entire history ?
Entire history I mean, say if you had applied asylum and returned back to India voluntarily and not being deported will that appear as well?

",passports
"Mistake in old granted UK visa, realized while applying for a new one","I made a mistake in one of my parents' date of birth during a visitor visa application which was granted. Now I'm going to apply for a Tier-2 visa and realized the mistake while reviewing the old form of the visitor visa. I'm a non-EU person residing in EU and applying from EU. How to amend the previously submitted mistake?
","visas, uk"
Order of obtaining UK and US visas,"Let's say I am going to visit country A before visiting country B. Can I apply for the visa of country A before applying for the visa of country B because of time constraints? In a particular case, when i plan to travel to UK then US, can i apply for a UK visa before applying for a USA visa? can this be a reason for refusal of UK visa because of the lack of proof to leave UK considering itinerary (possibility of a refusal to enter USA)?
","visas, usa, uk"
Financial requirements to sponsor relatives visiting the Schengen area [Germany]?,"I'm from India. My sister is staying in Stuttgart, Germany. She is inviting myself and our mother to visit her. I wanted to know, what should be the minimum bank balance required in my sister's account to invite us to Germany?
","visas, germany"
New Zealand Primark Equivalent?,"Soon I'll be going to New Zealand for a year and rather than taking lots of clothes I would like to buy cheap ones while there. 
I've done a little research and I can't see that they have anything similar to Primark over there.
Primark is a UK clothing shop chain often described as providing ""disposable fashion""/""fast fashion"" - on trend designs (admittedly often of very short lifetimes) at very low costs - eg. tops costing £3 (~4.40USD) and dresses costing £8 (~11.60 USD). An outlet can be found in most towns.
Does anybody know of any cheap clothes shops like this?
","shopping, clothing, new-zealand, working-holiday"
What to fill in canada tourist visa form 5257 for homemaker,"I am filling canada tourist visa form for my parents, my mom is homemaker, she is not working on employment.
When I strat filling form IMM5257E there is section for Employment, she dont have employer, and designation.
I can write homemaker in designation and in employer can write N/A.
But what i have to enter in From-To date?
","canada, paperwork, tourist-visas"
If you use wifi while onboard for free (not paying) is it illegal?,"There is a ""loophole""(?) for using wifi onboard an airplane without paying for it. Or perhaps not a loophole, rather an unadvertised but 'legal' pathway to access onboard wifi services that Google has negotiated for its users. If you are using a product from the Google suite of services (gmail, google analytics, Google Chat...etc) the access is provided without charge. The argument that came up was that this activity was illegal as it was not specifically mentioned in the T&C's of the onboard wifi access as being allowed. Is it illegal to access wifi onboard without paying for it if the airline offers wifi as a fee for service option to travellers? For reference: https://www.usatoday.com/story/tech/columnist/2015/01/25/google-gogo-wifi/22228149/
","air-travel, legal, airlines, wifi"
How safe are ferries within and travelling from Korea?,"I'm considering using ferries as part of my visit to South Korea, either to visit a Korean island, such as Jeju island, or to travel to or from Japan. Partially for the novelty, and partially because it's more flexible.
While looking up Jeju island on Wikivoyage, there was mention of a major ferry disaster with hundreds of lives lost.
How safe is ferry travel within or to and from Korea? Is it about as safe as air travel, riskier, or less risky? Does choosing the right company, or avoiding bad sea conditions help?
Related resource: List of South Korean ferry disasters
","safety, south-korea, ferries"
Old passport in UAE Visit visa,"Here is my situation:
I have my Indian passport with 3 more years validity which is never used.
It is a ECR (Emigration Check Required) status passport.
I received my UAE 90 days visit visa issued on 10 April 2016 but I just came to know that I need a ECNR (Emigration Check Not Required) status passport to travel UAE from India.
So I have to apply for a new ECNR Passport. Old passport will be cancelled. My UAE visit e-visa has my old passport number.
So in this case do I need to apply for another visa or can I travel with both passports in hand ?
","visas, indian-citizens, dubai, passport-renewals"
Standard Visitor to Tier 5 Creative Worker,"I recently got my family visitor visa. Now I know that this falls under the Standard Visitor section which also encompasses the Entertainer visa and Sportsperson visa. There is a possibility that I could get creative work (acting) here in England and I was wondering if I could apply to switch from the family visitor to the Tier 5 Temporary Creative worker, because it says that in order to switch, I need to be in the UK as an entertainer already. Or does this not matter if I got the Standard Visitor C-Visit visa on my passport anyway?
Thank you,
Waleed
","visas, uk, passports, standard-visitor-visas, work"
Schengen visa appeal result when I don't need to use it anymore,"I booked a stall in an exhibition for 24-25 June 2017.
I applied for a visa which was refused and when I did appeal, German embassy said that processing time is 3 months. Now the exhibition is already over and the embassy still hasn't responded. 
What decision can be expected from German embassy in this situation?
I visited Schengen previously in 2003, 2011 and 2014.
",german-schengen-visas
"When travelling from London to northern Sweden by train, is it possible to have a day of free sightseeing anywhere other than Copenhagen?","Whilst taking the train from London to Östersund (northern Sweden), which I do quite frequently, I usually plan it so that I get a free day in Copenhagen. It looks like this:
London -> Brussels -> Cologne -> (overnight) Copenhagen -> day of sightseeing in Copenhagen -> Malmö -> (overnight) Stockholm -> Östersund
Anyway, I'm getting pretty bored of Copenhagen, so I was wondering if it was possible to rearrange it in some way so that I could visit e.g. Berlin or some other city, taking the same amount of days of travel (i.e. 2 overnight segments).
","europe, sightseeing, trains, london, sweden"
Will being denied Schengen entry affect my future travel there?,"On June 5, I arrived at the airport in Frankfurt and intended to fly to my final destination, with an intermediate connection in Vienna. Because of not having a Schengen visa, I wasn't permitted to continue my flights and my passport was stamped as you see below. Fortunately, I was allowed to buy tickets bypassing Schengen zone and reach home. If I had known about the visa requirement beforehand, I never would have bought the tickets that caused so many problems.
What the codes ""C"" and ""I"" in the rights below corner of the stamp mean and what are the implications of these codes?

","visas, schengen, transit-visas"
Can I buy tickets for Taiwan high speed rail in advance online?,"I will be going on a trip to Taiwan and will be going around multiple cities. There is a high speed rail system that I would like to purchase tickets for in advance. My trip is still 3 months away. Can I do that right now online? 
","taiwan, high-speed-rail"
Where is the background photo used by Office 365 taken?,"If you login to Office 365 on http://login.microsoftonline.com, you see following picture.

Does anyone know where it was taken. I could not find it with Google.
","usa, photography, locate-this"
How to obtain a multiple entry Schengen visa from USA for a Russian citizen?,"Russian citizen, permanent resident of the US, lives in US and travels to Russia 3-4 times a year for about a week or two. Since most convenient flights for her go with an intermediate stop in Europe (e.g. Frankfurt, Helsinki, Paris, Milan, Reykjavik) she would like to exit the transit area of the airport and spend a day or two in the country of transit.
At present, she applied and received multiple short-term Schengen visas from Finland, Sweden, Iceland, France and Germany (about 5 total). However, despite her requests the visa was always granted in the C-1 category (30 days validity) single or double entry. Visa process is very time-consuming (collecting all the paperwork) and has to be planned many month in advance (waiting line for German consulate is 1 1/2 month as of today). She, to the best of my knowledge, has always complied with the visa requirements, has reasonably well paying job (>$100K) in the US and some property in the US. However, each and every time the visa granted is C-1 with 1 month validity and with the duration of stay for exact duration of transit +1 day. 
Why? What is the secret to obtaining a multi-entry Schengen visa with at least 1/2 year validity and multiple entries?
The current table for Schengen states US consulates, sorted by % of MEVs given per consulate:

PS.
This question partially overlaps with the following one:
Schengen visa for multiple visits, how to fill out the forms?. However, the forms were always filled requesting multiple entries, so the answer provided in the linked question is not sufficient.
","usa, schengen, russian-citizens"
Will unused B1/B2 visa affect future visa applications?,"I was going to the USA for a medical observership program; my university was covering all my fees. I got a B1/B2 visa, good for 3 months, which included the details of where I was going and when. Because of some problems, I couldn't go, and didn't use the visa. Will that fact complicate my ability to get a tourism visa in the future?
","visas, usa"
US stay can be extended if we visit Canada during US stay?,"My father has 1 year B1/B2(Visitor) visa. (Please dont ask why one year, its longggggg story). I am planing to apply his Canada visitor visa.
When they will enter to US, on port of entry, generally officer enter date after 6 months when you enter. For example, if your date of entry is June, 30, then you can stay till December, 30. (Generally, its 6 months, there might be case, where they gave less time, but I am not aware about that.)
My question is, if they visit Canada in November, and come back before December 30, on port of entry, they will get new date till they can stay? like they get next year May date? or Date will be same December, 30?
","usa, canada, tourist-visas, i-94"
travel from Gothenburg C to Copenhagen airport (CPH),"I have a return flight to Canada from the Copenhagen airport (CPH) at 12:35pm on July 1st, 2017 and am currently staying in Gothenburg. I have booked a ticket with Öresundståg departing from Gothenburg Central Station at 6:55am on July 1st and arriving at the Copenhagen airport at 10:13am on July 1st. If everything goes according to plan, I will have enough time to check-in my return flight and board the plane.
I know that there is currently border control by Sweden for trains entering Sweden from Denmark.
Q1) If I am entering Denmark from Sweden, is there any similar border control at any point during the trip that would make the duration of the train ride longer?
The Öresundståg website says that

Traveling from Sweden to Denmark
When traveling from Sweden to Denmark there are no border or ID
  controls. The trains run according to schedule, with the exception of
  the reduction to one departure every 20 minutes even during peak
  hours.

Q2) Is this really accurate? 
Q3) If there is indeed a border control for train rides from Sweden to Denmark, how much time should I expect it to add to the trip?
I noticed today on the Öresundståg website a notice saying

Disruptions in traffic between Halmstad and Falkenberg 2017-06-29
  10:45
Due to an accident the Öresundståg between Halmstad and Falkenberg is
  cancelled. Replacement buses will cover the distance, time for travel
  will increase.

2) Is this a temporary notice, only applicable to the day June 29, 2017 (i.e., today)? Or should I expect that my train on July 1, 2017 will also be delayed?
In short, my concern is to arrive on time at the Copenhagen airport to be able to catch my flight back to Canada. There are buses that will leave Gothenburg Central Station, but will arrive way too early at the airport. I prefer the train but am a bit worried about unexpected delays (or expected ones) during the train ride.
","customs-and-immigration, trains, sweden, denmark"
Canadian traveling to Cuba through USA. Entry permit needed for 50 USD?,"Flights from USA are much cheaper than from Toronto, but right before I book the flight, it tells me that I will have to purchase a ""Cuba entry permit"" for 50 USD, and ""An additional $25 USD service charge will also be collected per person by Cuba Travel Services (CTS), which administers the distribution of the entry permits.""
Can I instead get the ""tourist card"" from Pearson Airport (which is close to me), and use it during my Pittsburgh to Havana flight?
","visas, usa, visa-free-entry, canadian-citizens, cuba"
Does the Trump travel ban affect pending visa applications?,"As of June 26th 2017, the Trump travel ban for travelers to the US from six countries including Iran appears to be in force again.  Does this impact visa applications that were lodged before this date, or are they grandfathered in?
","visas, usa, iranian-citizens"
Intended date of arrival in schengen area,"I have applied for netherlands schengen visa while I was writing the intended date of arrival in schengen area i wrote 28/7 instead of 29/7.
Is this could cause any problem or reject my visa? 
","visas, schengen"
UK visa fees when traveling with a minor?,"I am filling out an application for a UK visitors visa and I am planning on traveling with my child who is a minor. What visa fees am I required to pay?
","visas, uk, children, standard-visitor-visa, fees-and-charges"
How boat traveller's stay duration is tracked in USA?,"I came to the USA by the plane and got 180 days to stay(B1/B2 visa). Then I was travelling exactly 180 days around the USA on the sailboat. And left the country from Key West to Cuba on the sailboat. I didn't inform anybody I'm leaving the country.
In this question I see the difficulties that can happen due to an overstay. As I understand, airlines inform the US government.
How stay duration is tracked in my case?
Update 1:
@Crazydre gave a good explanation what to do if something wrong. Thanks, this is very useful. But my question was: How stay duration is tracked for such cases?
Update 2:
This question is purely theoretical as I entered to USA 4 times after this. But before each entrance I wondered and worried about how my staying was tracked.
","visas, usa, customs-and-immigration, overstaying"
Walking 14 km on a pilgrimage road where footwear may be considered disrespectful,"There's this 14 km long road that's one of the main attractions in Thiruvannamalai, Tamil Nadu, India. The road goes all the way around a small mountain called Arunachala. The mountain is considered holy. The road is a road for pilgrims. They walk around the mountain as an act of worship. The whole road around the mountain (almost all 14 km of it) is considered a sort of holy site. The path is like this:

Here are pilgrims walking around the mountain.

There are millions of pilgrims walking around this mountain every year. I've never seen any of them wearing footwear of any kind. There is the paved road, and there is asphalt on the side. The pilgrims walk barefoot on both. The whole road around the mountain is considered holy, similarly to a temple. Wearing footwear in a Hindu temple is considered a serious offense.
Now, I want to join the pilgrims and walk this 14 km road. But I have never walked such a distance barefoot before. It's hard concrete/tiles/asphalt.
How will it be received by the pilgrims and locals if someone walks with some type of footwear on such a road?  How bad is it compared to walking with footwear into a temple (the latter being totally unacceptable.)
Has anyone here tried walking such a long distance barefoot on stone? Should I just go for it?
I guess if the pilgrims can do it, then so can I! I think I'll just go barefoot. But maybe I can get some helpful advice here.
If I do go barefoot, how can I, as a barefoot-noob, mitigate the discomforts that come with that? (Heat, stepping on stuff, hard stone base, etc.)
","india, etiquette, religion, walking, pilgrimages"
B1 B2 visa denied because of states ID Card,"Can i be denied because of taking state ID Card why In the US on B1 B2 Visa?
",air-travel
Is this road trip from India to Singapore covering entire South-East Asia in the below mentioned route were possible?,"I want to travel to this countries  mentioned below by road using car.

India
Nepal
Bhutan
Bangladesh
Myanmar
Laos
Vietnam
Cambodia
Thailand
Malaysia
Singapore

Yes. The Entire  South-East Asia mainland 
Is that possible? Do they allow road trip ? 
What are the legal formalities need have to be done for a successful trip ?
","road-trips, southeast-asia"
Deportation symbol,"Does uk stamp deportation ? If so how does it look like ?! If I had applied for voluntary return after my asylum refusal will they share that to Ireland ? Or when applying for Ireland of my past immigration history which shows that I had travelled to uk and applied asylum & returned voluntarily ... Will that have a impact on my visa application to Ireland now ? Obviously I have a new passport now and I don't hold the old one in which I have my uk visa stamps ... And it's damaged !! What could the Ireland embassy see with regard to my immigration history 
1. Just the stamp that I arrived in India ? Or 
2. Will they be able to see that I have applied for asylum and on refusal I came back ? 
",visas
I've received a refusal for a US visa twice under 214(b). How to make sure I won't get refused again when I apply?,"My situation:

Applied 1st time - got 214(b) was single
Applied 2nd time after about 2-3 years as a married person - got 3 year visa,
been about 10 times to the States, each time spent no more than 10 days.
Applied 3rd time as a divorced person - got 214(b) again.

So is there any logic here? They can see I've been in and out so many times to the States, traveled around the world so many times too, resident in the UK for 9 years, got 2 jobs.
How soon can I apply again?
","visas, usa, visa-refusals, b1-b2-visas"
Is it common to use a credit card to make payments in Brazil or is cash preferred?,"I have been to countries like Japan where cash is the preferred way of payment. Here in the United States, it is very common to use a credit card. What about Brazil? Is it common to use credit cards like Visa to pay for your purchases at stores and restaurants, etc? Or should one bring cash instead?
","brazil, payment"
Newark transit from terminal B to terminal A on separate itineraries,"I am arriving at Newark Airport terminal B on an international flight. Am not a US citizen or resident.
I have a connecting flight to Boston from terminal A on JetBlue. This was purchased on a separate itinerary.
I have one bag for check in
I have two questions

On arrival at terminal B, after going through immigration, baggage claim and customs, I presume that I have to take the AirTrain to terminal V. Where is this located in Terminal B?
Is it possible to check in my bag for the connecting flight at terminal B itself? (is there a JetBlue counter there?) Or do I have to take it to terminal A and check it in and get my boarding pass.

Thanks in advance for all help and inputs
",transit
"As a high school student in India, will I receive an ECR or non-ECR passport?","I am a final year B.E student. While applying for passport, I had a doubt, whether I am under ECNR (Emigration check not required) or ECR (emigration check required) category. I have done my schooling in state board.
To clarify the definitions:

ECR = Emigration Check Required
ECNR = Emigration Check Not Required

","passports, indian-citizens, india, ecr"
2 month car trip from LA to Yellowstone,"My brother and I are planning a 2 month trip to the US next year (April- May probably), I was thinking of buying a car for the trip but after looking at some responses here, it sounds like hiring a car for 2 months would be a lot easier! We want to go to Las Vegas, Zion National Park and Yellowstone.
Can you suggest a good place for a cheap rental?
Would be good if could make the trip one-way, but if necessary can start and end in LA.
","car-rentals, road-trips"
marginally excess size baggage in emirates,"My luggage dimensions (L+W+H) are 157 cm, only one bag but the maximum size mentioned in the airline (Emirates) is 150 cm. Will this be a problem?what has happened in similar cases,
",luggage
Cheap Internet access in Cuba for tourists?,"We just arrived in Havana, and have discovered that Internet is a bit of a rarity here.  Most large hotels offer Internet for CUC6-10 per hour.  The only mobile Internet I have found is from ETESCA and runs 1CUC per 1mb and is only for email.
Is there a more affordable way to access the Internet while traveling in Cuba?
I'm on vacation right now, but my normal mode of travel is as a digital nomad. How do digital nomads survive in the digital desert that is Cuba?  Are there any tips and tricks for getting inexpensive Internet here?
","budget, tips-and-tricks, internet, cuba"
Extra Person in Room,"My son and his friends are going to Ibiza and have 2 triple rooms booked but only 4 are travelling.  Someone is now tagging along and one of them is going to take this person's case in with them when checking in.  Will the hotel/housekeeping notice, find out and if so will the whole party be asked to leave hotel or just the ""EXTRA"" who hasn't paid?
",accommodation
Supporting documents for uk visitor visa-original or copies will do?,"UK visitor visa checklist for supporting documents asks to provide original and copy of each document during the appointment.
In regards to letter of invitation ( I will be staying with my sister, who is a British citizen and owns the house she lives in), she was going to email me the invite and send scanned copies of her passport, pay slip, bank statement and title deed. Is an email copy print out and scanned copy printout of her documents acceptable to hand it? 
I have read similar questions on this website, but none of them were asked recently. 
Thank you in advance for your help
","visas, uk"
Rebooking with Turkish airline,"if a miss a my transit flight in Istanbul Atatürk International airport. Will Turkish airlaine rebook flight for free?
","transit, turkish-airlines"
Baggage claim during changing flights,"I am flying from Chennai to Chicago on Etihad Airways, with layovers at Abu Dhabi and Manchester. My tickets say that the seat for the Manchester to Chicago leg is unconfirmed, and that check in is required. 

In order to check in, do I have to claim my baggage in Manchester and then check in at the Etihad counter, or is there some other way that I'm supposed to notifying them that I am there?
Do I need transit visa for Manchester? The layover is several hours, and I have to go from Terminal 3 to Terminal; MAN to ORD is operated by American Airlines.

","transit, luggage, transit-visas, american-airlines, etihad"
Allowed Baggage size in emirates between India and USA,"My journey is from Bangalore, India (BLR) to New York, USA (JFK) via Dubai in Emirates (Economy Flex). I have an American Tourister bag and the model is same as this [Link]. The Length + Width + Height is 164 cm. But when I checked Emirates itinerary, it clearly mentions 150 cm (or 59 inch) [Link] as allowed limit for check-in baggage. 
Can any frequent flyer comment if this is safe to travel or Emirates will be very particular about the dimensions?
","luggage, indian-citizens, jfk, emirates"
